ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
ko05171,Coronavirus disease - COVID-19,26,0.855652174,2.37159769,1.00E-10,1.00E-10,1.07E-08,192,"tags=100%, list=16%, signal=86%",K02866/K02877/K02883/K02885/K02889/K02896/K02908/K02910/K02912/K02921/K02922/K02924/K02927/K02929/K02930/K02936/K02962/K02966/K02974/K02977/K02978/K02979/K02984/K02987/K02991/K02995
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",16,-0.685218772,-3.048179726,9.71E-07,9.71E-07,5.21E-05,108,"tags=75%, list=9%, signal=69%",K00014/K00766/K00800/K00817/K00891/K01609/K01657/K01658/K01695/K01696/K01817/K14170
ko00860,Porphyrin metabolism,21,-0.566960052,-2.881011717,6.69E-06,6.69E-06,0.000239505,428,"tags=90%, list=36%, signal=59%",K00595/K01599/K01719/K01772/K02231/K02495/K03594/K01698/K01749/K01845/K02224/K02227/K02232/K02233/K02303/K02304/K02492/K03394/K02230
ko03010,Ribosome,79,0.53830329,1.57621146,1.61E-05,1.61E-05,0.000371419,192,"tags=35%, list=16%, signal=32%",K02866/K02869/K02877/K02883/K02885/K02889/K02896/K02908/K02910/K02912/K02921/K02922/K02924/K02927/K02929/K02930/K02936/K02944/K02962/K02966/K02974/K02977/K02978/K02979/K02984/K02987/K02991/K02995
ko03440,Homologous recombination,15,-0.632801088,-2.823422562,1.98E-05,1.98E-05,0.000371419,389,"tags=93%, list=33%, signal=63%",K01159/K02335/K02337/K02338/K02342/K02343/K03111/K03550/K03551/K03553/K03655/K04066/K06187/K07462
ko03020,RNA polymerase,13,0.756851174,1.921439124,2.08E-05,2.08E-05,0.000371419,203,"tags=77%, list=17%, signal=64%",K13798/K03041/K03042/K03047/K03049/K03051/K03053/K03055/K03056/K03058
ko00550,Peptidoglycan biosynthesis,15,-0.567130628,-2.530415071,0.000223684,0.000223684,0.003430944,453,"tags=93%, list=39%, signal=58%",K00075/K00790/K01000/K01921/K01924/K01925/K01928/K01929/K02563/K03587/K05366/K05515/K06153/K07259
ko00261,Monobactam biosynthesis,4,-0.914675768,-1.927678229,0.000272177,0.000272177,0.003652904,105,"tags=100%, list=9%, signal=91%",K00215/K00928/K01714
ko00630,Glyoxylate and dicarboxylate metabolism,24,0.619405344,1.701567625,0.000328148,0.000328148,0.003914754,71,"tags=33%, list=6%, signal=32%",K00015/K00018/K00122/K00282/K00283/K01601/K01848/K01849
ko00300,Lysine biosynthesis,11,-0.638038738,-2.438105615,0.000529295,0.000529295,0.005682952,359,"tags=91%, list=31%, signal=64%",K01778/K01928/K01929/K00003/K00133/K00215/K00821/K00928/K01586/K01714
